experiment,run,dataset,root,root_idx,baseline_seconds,fault_seconds,rate_window,path,quality_valid,min_valid_ratio,missing_points,zero_points,dycause_log,dycause_ok,lag,step,edge_thres,root_rank,pr1,pr2,pr3,pr4,pr5,pr_avg,acc
mesh_e1,run02,mesh_e1_mesh_run02,payment,5,300,300,15s,D:\project\homework\sockshop\data\sockshop_mesh\mesh_e1\run02,True,1.0,0,0,D:\project\homework\sockshop\data\sockshop_mesh\mesh_e1\run02\dycause_lag7_step30_edge0.8.log,True,7,30,0.8,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mesh_e1,run03,mesh_e1_mesh_run03,payment,5,300,300,15s,D:\project\homework\sockshop\data\sockshop_mesh\mesh_e1\run03,True,1.0,0,0,D:\project\homework\sockshop\data\sockshop_mesh\mesh_e1\run03\dycause_lag7_step30_edge0.8.log,True,7,30,0.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mesh_e1,run04,mesh_e1_mesh_run04,payment,5,300,300,15s,D:\project\homework\sockshop\data\sockshop_mesh\mesh_e1\run04,True,1.0,0,0,D:\project\homework\sockshop\data\sockshop_mesh\mesh_e1\run04\dycause_lag7_step30_edge0.8.log,True,7,30,0.8,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mesh_e1,run05,mesh_e1_mesh_run05,payment,5,300,300,15s,D:\project\homework\sockshop\data\sockshop_mesh\mesh_e1\run05,True,1.0,0,0,D:\project\homework\sockshop\data\sockshop_mesh\mesh_e1\run05\dycause_lag7_step30_edge0.8.log,True,7,30,0.8,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mesh_e1,run06,mesh_e1_mesh_run06,payment,5,300,300,15s,D:\project\homework\sockshop\data\sockshop_mesh\mesh_e1\run06,True,1.0,0,0,D:\project\homework\sockshop\data\sockshop_mesh\mesh_e1\run06\dycause_lag7_step30_edge0.8.log,True,7,30,0.8,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mesh_e2,run02,mesh_e2_mesh_run02,user,7,300,300,15s,D:\project\homework\sockshop\data\sockshop_mesh\mesh_e2\run02,True,1.0,0,0,D:\project\homework\sockshop\data\sockshop_mesh\mesh_e2\run02\dycause_lag7_step30_edge0.8.log,True,7,30,0.8,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mesh_e2,run03,mesh_e2_mesh_run03,user,7,300,300,15s,D:\project\homework\sockshop\data\sockshop_mesh\mesh_e2\run03,True,1.0,0,0,D:\project\homework\sockshop\data\sockshop_mesh\mesh_e2\run03\dycause_lag7_step30_edge0.8.log,True,7,30,0.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mesh_e3,run02,mesh_e3_mesh_run02,payment,5,300,300,15s,D:\project\homework\sockshop\data\sockshop_mesh\mesh_e3\run02,True,1.0,0,0,D:\project\homework\sockshop\data\sockshop_mesh\mesh_e3\run02\dycause_lag7_step30_edge0.8.log,True,7,30,0.8,5,0.0,0.0,0.0,0.0,1.0,0.2,0.4286
mesh_e3,run03,mesh_e3_mesh_run03,payment,5,300,300,15s,D:\project\homework\sockshop\data\sockshop_mesh\mesh_e3\run03,True,1.0,0,0,D:\project\homework\sockshop\data\sockshop_mesh\mesh_e3\run03\dycause_lag7_step30_edge0.8.log,True,7,30,0.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mesh_e3,run04,mesh_e3_mesh_run04,payment,5,300,300,15s,D:\project\homework\sockshop\data\sockshop_mesh\mesh_e3\run04,True,1.0,0,0,D:\project\homework\sockshop\data\sockshop_mesh\mesh_e3\run04\dycause_lag7_step30_edge0.8.log,True,7,30,0.8,2,0.0,1.0,1.0,1.0,1.0,0.8,0.8571
mesh_e3,run05,mesh_e3_mesh_run05,payment,5,300,300,15s,D:\project\homework\sockshop\data\sockshop_mesh\mesh_e3\run05,True,1.0,0,0,D:\project\homework\sockshop\data\sockshop_mesh\mesh_e3\run05\dycause_lag7_step30_edge0.8.log,True,7,30,0.8,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mesh_e3,run06,mesh_e3_mesh_run06,payment,5,300,300,15s,D:\project\homework\sockshop\data\sockshop_mesh\mesh_e3\run06,True,1.0,0,0,D:\project\homework\sockshop\data\sockshop_mesh\mesh_e3\run06\dycause_lag7_step30_edge0.8.log,True,7,30,0.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mesh_e4,run02,mesh_e4_mesh_run02,user,7,300,300,15s,D:\project\homework\sockshop\data\sockshop_mesh\mesh_e4\run02,True,1.0,0,0,D:\project\homework\sockshop\data\sockshop_mesh\mesh_e4\run02\dycause_lag7_step30_edge0.8.log,True,7,30,0.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mesh_e4,run03,mesh_e4_mesh_run03,user,7,300,300,15s,D:\project\homework\sockshop\data\sockshop_mesh\mesh_e4\run03,True,1.0,0,0,D:\project\homework\sockshop\data\sockshop_mesh\mesh_e4\run03\dycause_lag7_step30_edge0.8.log,True,7,30,0.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mesh_e5,run01,mesh_e5_mesh_run01,catalogue,2,300,300,15s,D:\project\homework\sockshop\data\sockshop_mesh\mesh_e5\run01,True,1.0,0,0,D:\project\homework\sockshop\data\sockshop_mesh\mesh_e5\run01\dycause_lag7_step30_edge0.8.log,True,7,30,0.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mesh_e5,run02,mesh_e5_mesh_run02,catalogue,2,300,300,15s,D:\project\homework\sockshop\data\sockshop_mesh\mesh_e5\run02,True,1.0,0,0,D:\project\homework\sockshop\data\sockshop_mesh\mesh_e5\run02\dycause_lag7_step30_edge0.8.log,True,7,30,0.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mesh_e5,run03,mesh_e5_mesh_run03,catalogue,2,300,300,15s,D:\project\homework\sockshop\data\sockshop_mesh\mesh_e5\run03,True,1.0,0,0,D:\project\homework\sockshop\data\sockshop_mesh\mesh_e5\run03\dycause_lag7_step30_edge0.8.log,True,7,30,0.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mesh_e5,run04,mesh_e5_mesh_run04,catalogue,2,300,300,15s,D:\project\homework\sockshop\data\sockshop_mesh\mesh_e5\run04,True,1.0,0,0,D:\project\homework\sockshop\data\sockshop_mesh\mesh_e5\run04\dycause_lag7_step30_edge0.8.log,True,7,30,0.8,2,0.0,1.0,1.0,1.0,1.0,0.8,0.8571
mesh_e5,run05,mesh_e5_mesh_run05,catalogue,2,300,300,15s,D:\project\homework\sockshop\data\sockshop_mesh\mesh_e5\run05,True,1.0,0,0,D:\project\homework\sockshop\data\sockshop_mesh\mesh_e5\run05\dycause_lag7_step30_edge0.8.log,True,7,30,0.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
